id	va	changed_accesses	native_graph	retail_full	retail_summary
src/SOURCE/EVENTS.cpp:advManager::GenericSiteEvent(mapCell * cell,hero * eventHero)#1	0x00442256	3	PASS	False	?GenericSiteEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z bytes True size 1788 1788 DIR32 sites True ordered target errors [('0x4e7', '__real@8@3ffeb333333333333000', '0x0', '0xea5a8', None)]
src/SOURCE/EVENTS.cpp:advManager::GenericSiteAIEvent(mapCell * cell,hero * eventHero)#1	0x00447989	3	PASS	False	?GenericSiteAIEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z bytes True size 849 849 DIR32 sites True ordered target errors [('0x23e', '__real@8@3ffeb333333333333000', '0x0', '0xea5a8', None)]
src/SOURCE/GAME.cpp:game::ViewArmy(i32 x,i32 y,CreatureType monsterType,i32 numTroops,town * castle,i32 disableUpgrade,ArmyFacing facing,i32 quickView,hero * theHero,class army * theArmy,armyGroup * theGroup,i32 groupIndex)#1	0x00455529	3	PASS	False	?ViewArmy@game@@QAEXHHHHPAVtown@@HHHPAVhero@@PAVarmy@@PAVarmyGroup@@H@Z bytes True size 3336 3336 DIR32 sites False ordered target errors [('0x6', '$L68144', '0x0', '0xe84cf', None), ('0xc', '__except_list', '0x0', '0xffc00000', None), ('0x14', '__except_list', '0x0', '0xffc00000', None), ('0xcfd', '__except_list', '0x0', '0xffc00000', None)]
src/SOURCE/GAME.cpp:game::ExperienceValueOfStack(armyGroup * group,hero * h)#1	0x0045bad4	2	PASS	True	?ExperienceValueOfStack@game@@QAEHPAVarmyGroup@@PAVhero@@@Z bytes True size 126 126 DIR32 sites True ordered target errors []
src/SOURCE/GAME.cpp:game::SetupTowns(void)#1	0x0045c623	6	PASS	True	?SetupTowns@game@@QAEXXZ bytes True size 2161 2161 DIR32 sites True ordered target errors []
src/SOURCE/GAME.cpp:game::ProcessOnMapHeroes(void)#1	0x0045ce94	4	PASS	True	?ProcessOnMapHeroes@game@@QAEXXZ bytes True size 1830 1830 DIR32 sites True ordered target errors []
src/SOURCE/GAME.cpp:game::CheckHeroConsistency(void)#1	0x0045d5ba	2	PASS	True	?CheckHeroConsistency@game@@QAEXXZ bytes True size 1225 1225 DIR32 sites True ordered target errors []
src/SOURCE/PHILAI.cpp:philAI::CheckForCreatureUpgrades(void)#1	0x0047e5ac	7	PASS	True	?CheckForCreatureUpgrades@philAI@@QAEXXZ bytes True size 803 803 DIR32 sites True ordered target errors []
src/SOURCE/PHILAI.cpp:philAI::ValueOfBuyingBuilding(town * townPtr,BuildingSlotType building,i32 & resourceValue,float & benefitCost)#1	0x00483019	1	PASS	False	?ValueOfBuyingBuilding@philAI@@QAEXPAVtown@@HAAHAAM@Z bytes True size 1811 1811 DIR32 sites True ordered target errors [('0x1de', '__real@8@3ffdccccccccccccd000', '0x0', '0xea640', None), ('0x1ec', '__real@8@3ffea666666666666800', '0x0', '0xea510', None), ('0x205', '__real@8@3fff9999999999999800', '0x0', '0xea4b0', None), ('0x252', '__real@8@3ffe8cccccccccccd000', '0x0', '0xea708', None), ('0x359', '__real@8@3ffea8f5c28f5c28f800', '0x0', '0xea620', None), ('0x371', '__real@8@3ffda8f5c28f5c28f800', '0x0', '0xea628', None), ('0x37f', '__real@8@3ffda8f5c28f5c28f800', '0x0', '0xea628', None), ('0x385', '__real@8@3ffea8f5c28f5c28f800', '0x0', '0xea620', None), ('0x490', '__real@8@3ffea8f5c28f5c28f800', '0x0', '0xea620', None), ('0x4a9', '__real@8@3ffda8f5c28f5c28f800', '0x0', '0xea628', None), ('0x4d2', '__real@8@3ffaccccccccccccd000', '0x0', '0xea498', None), ('0x4d8', '__real@8@3fff8000000000000000', '0x0', '0xea4b8', None), ('0x4f5', '__real@8@3ffda8f5c28f5c28f800', '0x0', '0xea628', None), ('0x4fb', '__real@8@3fffd47ae147ae147800', '0x0', '0xea700', None), ('0x516', '__real@8@3fff8cccccccccccd000', '0x0', '0xea4a8', None), ('0x594', '__real@8@3fff9999999999999800', '0x0', '0xea4b0', None), ('0x608', '__real@8@4000c000000000000000', '0x0', '0xea6f8', None), ('0x60e', '__real@8@3fff8000000000000000', '0x0', '0xea4b8', None), ('0x62b', '__real@8@3ffed999999999999800', '0x0', '0xea5c0', None), ('0x637', '__real@4@00000000000000000000', '0x0', '0xea520', None)]
src/SOURCE/PHILAI.cpp:philAI::FightValueOfStack(armyGroup * group,hero * heroPtr,i32 useHero,i32 useTown,i32 townId,i32 useEnemyMods)#1	0x004859c8	17	PASS	False	?FightValueOfStack@philAI@@QAEHPAVarmyGroup@@PAVhero@@HHHH@Z bytes True size 2465 2465 DIR32 sites True ordered target errors [('0x362', '__real@8@3ffeb333333333333000', '0x0', '0xea5a8', None), ('0x37e', '__real@8@3ffed999999999999800', '0x0', '0xea5c0', None), ('0x3a8', '__real@8@3fff9999999999999800', '0x0', '0xea4b0', None), ('0x3b4', '__real@4@3fff8000000000000000', '0x0', '0xea518', None), ('0x3e9', '__real@8@3fff970a3d70a3d70800', '0x0', '0xea718', None), ('0x413', '__real@8@3ffef333333333333000', '0x0', '0xea770', None), ('0x552', '__real@8@3ffbccccccccccccd000', '0x0', '0xea4c0', None), ('0x558', '__real@8@3fff8000000000000000', '0x0', '0xea4b8', None), ('0x8b7', '__real@8@3fffa000000000000000', '0x0', '0xea6c0', None), ('0x8cd', '__real@8@3fffc000000000000000', '0x0', '0xea508', None), ('0x8ef', '__real@8@3ffec000000000000000', '0x0', '0xea5b0', None), ('0x90a', '__real@8@3fffc000000000000000', '0x0', '0xea508', None), ('0x920', '__real@8@3fffc000000000000000', '0x0', '0xea508', None), ('0x932', '__real@8@3fffa000000000000000', '0x0', '0xea6c0', None), ('0x94d', '__real@8@3ffee666666666666800', '0x0', '0xea6b8', None)]
