# Reviewed relocation sites not emitted by the generic relocation sweep.
# Candidate COFF relocations and exact code/data layout prove these sites.
site_rva	reason
0xb0c1d	exact-DDUpdatePalette-absolute-operand
0xff35b	packed-gWinSetup-string-pointer
0xff362	packed-gWinSetup-string-pointer
0xff369	packed-gWinSetup-string-pointer
0xff377	packed-gWinSetup-string-pointer
0xff37e	packed-gWinSetup-string-pointer
0xff385	packed-gWinSetup-string-pointer
0xff393	packed-gWinSetup-string-pointer
0xff39a	packed-gWinSetup-string-pointer
0xff3a1	packed-gWinSetup-string-pointer
0xff3af	packed-gWinSetup-string-pointer
0xff3b6	packed-gWinSetup-string-pointer
0xff3bd	packed-gWinSetup-string-pointer
0xff3cb	packed-gWinSetup-string-pointer
0xff3d2	packed-gWinSetup-string-pointer
0xff3d9	packed-gWinSetup-string-pointer
0xff3e7	packed-gWinSetup-string-pointer
0xff3ee	packed-gWinSetup-string-pointer
0xff3f5	packed-gWinSetup-string-pointer
0xff403	packed-gWinSetup-string-pointer
0xff40a	packed-gWinSetup-string-pointer
0xff411	packed-gWinSetup-string-pointer
0xff41f	packed-gWinSetup-string-pointer
0xff426	packed-gWinSetup-string-pointer
0xff42d	packed-gWinSetup-string-pointer
0xff43b	packed-gWinSetup-string-pointer
0xff442	packed-gWinSetup-string-pointer
0xff449	packed-gWinSetup-string-pointer
0xff457	packed-gWinSetup-string-pointer
0xff45e	packed-gWinSetup-string-pointer
0xff465	packed-gWinSetup-string-pointer
0xff473	packed-gWinSetup-string-pointer
0xff47a	packed-gWinSetup-string-pointer
0xff481	packed-gWinSetup-string-pointer
0xff48f	packed-gWinSetup-string-pointer
0xff496	packed-gWinSetup-string-pointer
0xff49d	packed-gWinSetup-string-pointer
0xff4ab	packed-gWinSetup-string-pointer
0xff4b2	packed-gWinSetup-string-pointer
0xff4b9	packed-gWinSetup-string-pointer
0xff4c7	packed-gWinSetup-string-pointer
0xff4ce	packed-gWinSetup-string-pointer
0xff4d5	packed-gWinSetup-string-pointer
0xff4e3	packed-gWinSetup-string-pointer
0xff4ea	packed-gWinSetup-string-pointer
0xff4f1	packed-gWinSetup-string-pointer
0xff4ff	packed-gWinSetup-string-pointer
0xff506	packed-gWinSetup-string-pointer
0xff50d	packed-gWinSetup-string-pointer
0xff51b	packed-gWinSetup-string-pointer
0xff522	packed-gWinSetup-string-pointer
0xff529	packed-gWinSetup-string-pointer
0xff537	packed-gWinSetup-string-pointer
0xff53e	packed-gWinSetup-string-pointer
0xff545	packed-gWinSetup-string-pointer
0xff553	packed-gWinSetup-string-pointer
