# DIR32 relocation-count mismatches on SAME-LENGTH functions (2026-08-03).
# ours = DIR32 sites in build/objdiff/base/<unit>.obj within the claimed span
# retail = rows of config/delink_relocs.tsv falling in that span
# The masked byte compare CANNOT see these: it zeroes reloc sites on both sides.
delta	ours	retail	rva	unit	function
3	4	1	0xcd3f0	BASE/AudiereMusic	?StartupAudiereMusic@@YI_NV?$RefPtr@VAudioDevice@audiere@@@audiere@@@Z
3	5	2	0xc5d50	BASE/BITMAP	??0bitmap@@QAE@FFF@Z
3	10	7	0xc5df0	BASE/BITMAP	??0bitmap@@QAE@K@Z
3	6	3	0xcb120	BASE/BORDER	??0border@@QAE@FFFFFFFPAD@Z
3	7	4	0xcb1d0	BASE/BORDER	??1border@@UAE@XZ
3	6	3	0xd3580	BASE/BUTTON	??0button@@QAE@FFFFKFFFFFF@Z
3	6	3	0xd3830	BASE/BUTTON	??1button@@UAE@XZ
3	12	9	0xc3620	BASE/FONT	??0font@@QAE@K@Z
3	6	3	0xc3740	BASE/FONT	??1font@@UAE@XZ
3	9	6	0xc26f0	BASE/ICON	??0icon@@QAE@K@Z
3	6	3	0xbb700	BASE/ICONWDGT	??0iconWidget@@QAE@FFFFKFCFFF@Z
3	7	4	0xbb7c0	BASE/ICONWDGT	??0iconWidget@@QAE@FFFFPADFCFFF@Z
3	6	3	0xbb9b0	BASE/ICONWDGT	??1iconWidget@@UAE@XZ
3	6	3	0xb9180	BASE/MOUSEMGR	?Open@mouseManager@@UAEHH@Z
3	7	4	0xcaf40	BASE/PALETTE	??0palette@@QAE@K@Z
3	5	2	0xcaea0	BASE/PALETTE	??0palette@@QAE@XZ
3	4	1	0xb81c0	BASE/RESMGR	?GetBitmap@resourceManager@@QAEPAVbitmap@@PAD@Z
3	4	1	0xb8430	BASE/RESMGR	?GetFont@resourceManager@@QAEPAVfont@@PAD@Z
3	4	1	0xb82b0	BASE/RESMGR	?GetIcon@resourceManager@@QAEPAVicon@@K@Z
3	4	1	0xb85b0	BASE/RESMGR	?GetMIDIWrap@resourceManager@@QAEPAVMIDIWrap@@PAD@Z
3	4	1	0xb8100	BASE/RESMGR	?GetPalette@resourceManager@@QAEPAVpalette@@PAD@Z
3	4	1	0xb8360	BASE/RESMGR	?GetTileset@resourceManager@@QAEPAVtileset@@PAD@Z
3	9	6	0xce520	BASE/SAMPLE	??0MIDIWrap@@QAE@PAD@Z
3	18	15	0xce250	BASE/SAMPLE	??0sample@@QAE@PADJJJ@Z
3	7	4	0xce490	BASE/SAMPLE	??1sample@@UAE@XZ
3	6	3	0xc31c0	BASE/TEXTWDGT	??1textWidget@@UAE@XZ
3	10	7	0xce090	BASE/TILESET	??0tileset@@QAE@K@Z
3	6	3	0xd1f00	BASE/Textntry	??1textEntryWidget@@UAE@XZ
3	4	1	0xbb360	BASE/WINDOW	?SaveBackground@heroWindow@@QAEHXZ
3	7	4	0xcfe40	BASE/droplist	??1dropListWidget@@UAE@XZ
3	4	1	0xd0e60	BASE/droplist	?SaveDropBackground@dropListWidget@@QAEXXZ
3	8	5	0xce730	BASE/listbox	??1listBoxWidget@@UAE@XZ
3	20	17	0x14562	SOURCE/ADVMGR	?ControlPanel@advManager@@QAEHXZ
3	18	15	0x11313	SOURCE/ADVMGR	?DimensionDoor@advManager@@QAEXXZ
3	113	110	0x12f2	SOURCE/ADVMGR	?Open@advManager@@UAEHH@Z
3	27	24	0xedaf	SOURCE/ADVMGR	?SaveGame@@YIHXZ
3	22	19	0x149c0	SOURCE/ADVMGR	?SystemOptions@advManager@@QAEXXZ
3	17	14	0xb9b8	SOURCE/ADVMGR	?UpdBottomViewKingdom@advManager@@QAEHXZ
3	24	21	0xb2ad	SOURCE/ADVMGR	?UpdBottomViewNewTurn@advManager@@QAEHXZ
3	21	18	0xb634	SOURCE/ADVMGR	?UpdBottomViewResMsg@advManager@@QAEHXZ
3	36	33	0x13c27	SOURCE/ADVMGR	?ViewPuzzle@advManager@@QAEXXZ
3	14	11	0x2b23a	SOURCE/CMBTMGR	?CombatSystemOptions@combatManager@@QAEXXZ
3	75	72	0x2f601	SOURCE/COMMAND	?DoVictory@combatManager@@QAEXH@Z
3	55	52	0x39058	SOURCE/DRAWING	?UpdateMouseGrid@combatManager@@QAEXHH@Z
3	5	2	0x42ac2	SOURCE/EVENTS	?ExpansionRecruitEvent@advManager@@QAEXPAVhero@@HPAF@Z
3	5	2	0x41f0d	SOURCE/EVENTS	?HeroSwap@advManager@@QAEXPAVhero@@0@Z
3	5	2	0x435ad	SOURCE/EVENTS	?RecruitEvent@advManager@@QAEXPAVhero@@HPAVmapCell@@@Z
3	44	41	0x64415	SOURCE/HERO	?DoHeroSplit@@YIXHH@Z
