# Generated by `homm2 audit cross-version-bodies`; do not hand-edit.
# reference: /home/sheep/Projects/homm2/homm2-decomp
# body: identical/formatting/renames = the reconstruction is intact,
#       so the residual is compiler-and-flags - hand it to the permuter.
#       divergent = this branch's copy drifted, or 2.1 changed the
#       function; read the bodies before assuming which.
body	lead	unit	symbol	similarity	renames	buka_tokens	pol_tokens	transition	unmatched_bytes
identical	parity-gap	BASE/icon2by	?IconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	1.000		799	799	o2-od	1028
identical	parity-gap	BASE/ICONWDGT	?Main@iconWidget@@UAEHAAUtag_message@@@Z	1.000		507	507	o2-od	776
identical	parity-gap	BASE/INPUTMGR	?MakeScanCodeTable@inputManager@@QAEXXZ	1.000		1028	1028	o2-od	634
identical	parity-gap	BASE/WINDOW	??0heroWindow@@QAE@HHPAD@Z	1.000		492	492	od-od	416
identical	parity-gap	BASE/INPUTMGR	?KeyboardMessageHandler@@YIHPAXIIJ@Z	1.000		551	551	o2-od	391
identical	parity-gap	SOURCE/GAME	?GiveTroopsToNeutralTown@game@@QAEXH@Z	1.000		651	651	od-od	337
identical	parity-gap	BASE/BORDER	?Main@border@@UAEHAAUtag_message@@@Z	1.000		307	307	o2-od	317
identical	parity-gap	SOURCE/ADVMGR	?GetCloudLookup@advManager@@QAEHHH@Z	1.000		605	605	od-od	256
identical	parity-gap	SOURCE/ARMY	?Walk@army@@QAEXHHH@Z	1.000		1361	1361	od-od	243
identical	parity-gap	BASE/droplist	?DrawDropStuff@dropListWidget@@QAEXXZ	1.000		515	515	o2-od	237
identical	parity-gap	BASE/listbox	?Read@listBoxWidget@@QAEXXZ	1.000		547	547	o2-od	204
identical	parity-gap	SOURCE/ADVMGR	?DoAdvCommand@advManager@@QAEPAVmapCell@@XZ	1.000		834	834	od-od	177
identical	parity-gap	BASE/Textntry	?Draw@textEntryWidget@@UAEXXZ	1.000		198	198	o2-od	172
identical	parity-gap	BASE/Misc	?FadeTo@@YIXPAE0H@Z	1.000		230	230	o2-od	162
identical	parity-gap	BASE/droplist	?Read@dropListWidget@@QAEXXZ	1.000		456	456	o2-od	152
identical	parity-gap	BASE/Misc	?FadeOut@@YIXH@Z	1.000		197	197	o2-od	143
