source_file	source_enum	source_line	starting_members	retained_members	reused_or_moved_members	reason	members
include/BASE/EXEC_TYPES.h	ExecutiveTextSlotSize	6	11	11	0	Recovered executive text-slot extents describe separate payloads, not interchangeable buffers.	"[{""name"":""EXEC_TEXT_RESOURCE_INIT_SLOT_SIZE"",""retail"":60,""strict"":60},{""name"":""EXEC_TEXT_INPUT_INIT_SLOT_SIZE"",""retail"":88,""strict"":88},{""name"":""EXEC_TEXT_DEVICE_INIT_SLOT_SIZE"",""retail"":32,""strict"":32},{""name"":""EXEC_TEXT_WINDOW_INIT_SLOT_SIZE"",""retail"":68,""strict"":68},{""name"":""EXEC_TEXT_MANAGER_ERROR_SLOT_SIZE"",""retail"":28,""strict"":28},{""name"":""EXEC_TEXT_LIST_START_SLOT_SIZE"",""retail"":32,""strict"":32},{""name"":""EXEC_TEXT_LIST_DIVIDER_SLOT_SIZE"",""retail"":8,""strict"":8},{""name"":""EXEC_TEXT_LIST_HEADER_SLOT_SIZE"",""retail"":20,""strict"":20},{""name"":""EXEC_TEXT_LIST_ENTRY_SLOT_SIZE"",""retail"":44,""strict"":44},{""name"":""EXEC_TEXT_LIST_STOP_SLOT_SIZE"",""retail"":32,""strict"":32},{""name"":""EXEC_TEXT_TERMINATION_SLOT_SIZE"",""retail"":12,""strict"":12}]"
include/BASE/IconDraw.h	IconDrawClipMode	6	2	2	0	Clipping policy, image orientation and drawing result are different API domains despite 0/1 values.	"[{""name"":""ICON_DRAW_NO_CLIP"",""retail"":0,""strict"":0},{""name"":""ICON_DRAW_CLIP"",""retail"":1,""strict"":1}]"
include/BASE/IconDraw.h	IconDrawOrientation	11	2	2	0	Clipping policy, image orientation and drawing result are different API domains despite 0/1 values.	"[{""name"":""ICON_DRAW_NORMAL"",""retail"":0,""strict"":0},{""name"":""ICON_DRAW_FLIPPED"",""retail"":1,""strict"":1}]"
include/BASE/IconDraw.h	IconDrawResult	16	2	2	0	Clipping policy, image orientation and drawing result are different API domains despite 0/1 values.	"[{""name"":""ICON_DRAW_SKIPPED"",""retail"":0,""strict"":0},{""name"":""ICON_DRAW_COMPLETED"",""retail"":1,""strict"":1}]"
include/BASE/IconMonoRle.h	IconMonoRleCommandConstant	4	4	4	0	Icon codec commands, run lengths, field masks, palette strides and shear sentinels retain their separate encoding roles.	"[{""name"":""ICON_RLE_MONO_NEWLINE_COMMAND"",""retail"":0,""strict"":0},{""name"":""ICON_RLE_MONO_END_COUNT"",""retail"":0,""strict"":0},{""name"":""ICON_RLE_MONO_SKIP_FLAG"",""retail"":128,""strict"":128},{""name"":""ICON_RLE_MONO_RUN_MASK"",""retail"":127,""strict"":127}]"
include/BASE/IconRle.h	IconRleCommandConstant	6	8	8	0	Icon codec commands, run lengths, field masks, palette strides and shear sentinels retain their separate encoding roles.	"[{""name"":""ICON_RLE_COMMAND_RUN_MASK"",""retail"":63,""strict"":63},{""name"":""ICON_RLE_COMMAND_SOLID_FLAG"",""retail"":64,""strict"":64},{""name"":""ICON_RLE_LONG_SOLID_COMMAND"",""retail"":193,""strict"":193},{""name"":""ICON_RLE_DIM_SHORT_COUNT_MASK"",""retail"":3,""strict"":3},{""name"":""ICON_RLE_DIM_LEVEL_MASK"",""retail"":60,""strict"":60},{""name"":""ICON_RLE_DIM_APPLY_FLAG"",""retail"":64,""strict"":64},{""name"":""ICON_RLE_DIM_RECOLOR_FLAG"",""retail"":128,""strict"":128},{""name"":""ICON_RLE_DIM_PALETTE_LEVEL_STRIDE"",""retail"":64,""strict"":64}]"
include/BASE/IconShear.h	IconShearConstant	4	1	1	0	Icon codec commands, run lengths, field masks, palette strides and shear sentinels retain their separate encoding roles.	"[{""name"":""ICON_SHEAR_SKIP_ROW"",""retail"":127,""strict"":127}]"
include/BASE/Misc.h	MiscRecordConstant	14	3	3	0	Serialized record extents and the logger's unused-value sentinel are independent contracts.	"[{""name"":""MEM_ENTRY_FILE_CAPACITY"",""retail"":61,""strict"":61},{""name"":""PCX_HEADER_PALETTE16_BYTES"",""retail"":48,""strict"":48},{""name"":""PCX_HEADER_FILLER_BYTES"",""retail"":54,""strict"":54}]"
include/BASE/Misc.h	LogConstant	20	1	1	0	Serialized record extents and the logger's unused-value sentinel are independent contracts.	"[{""name"":""LOG_UNUSED_VALUE"",""retail"":-999,""strict"":-999}]"
include/BASE/Misc.h	DataEntryPhase	165	3	3	0	Data-entry phases and CD setup failure states are separate state machines.	"[{""name"":""ENTRY_PHASE_IMMEDIATE"",""retail"":0,""strict"":0},{""name"":""ENTRY_PHASE_POINTER_SENT"",""retail"":1,""strict"":1},{""name"":""ENTRY_PHASE_READY"",""retail"":2,""strict"":2}]"
include/BASE/MiscEnums.h	CDRomSetupResult	6	5	5	0	Data-entry phases and CD setup failure states are separate state machines.	"[{""name"":""CD_ROM_READY"",""retail"":0,""strict"":0},{""name"":""CD_ROM_DRIVE_UNAVAILABLE"",""retail"":1,""strict"":1},{""name"":""CD_ROM_EXPANSION_DISC_MISSING"",""retail"":2,""strict"":2},{""name"":""CD_ROM_GAME_DIRECTORY_MISSING"",""retail"":3,""strict"":3},{""name"":""CD_ROM_DATA_FILES_MISSING"",""retail"":4,""strict"":4}]"
include/BASE/MiscGraphicsConstants.h	MiscPaletteConstant	4	4	0	4	RGB palette layout has a shared owner; channel indices remain a typed domain.	"[{""name"":""MISC_PALETTE_COMPONENT_BYTES"",""retail"":3,""strict"":3,""target"":{""file"":""include/BASE/palette.h"",""enum"":""PaletteChannel"",""name"":""PALETTE_CHANNEL_COUNT""},""reason"":""Same RGB palette representation: three channels, 256 colors and six-bit channel levels.""},{""name"":""MISC_PALETTE_BYTE_COUNT"",""retail"":768,""strict"":768,""target"":{""file"":""include/BASE/palette.h"",""enum"":""PaletteConstant"",""name"":""PALETTE_DATA_SIZE""},""reason"":""Same RGB palette representation: three channels, 256 colors and six-bit channel levels.""},{""name"":""MISC_PALETTE_LEVEL_COUNT"",""retail"":64,""strict"":64,""target"":{""file"":""include/BASE/display.h"",""enum"":""PaletteFormatConstant"",""name"":""PALETTE_LEVEL_COUNT""},""reason"":""Same RGB palette representation: three channels, 256 colors and six-bit channel levels.""},{""name"":""MISC_PALETTE_MAX_LEVEL"",""retail"":63,""strict"":63,""target"":{""file"":""include/BASE/display.h"",""enum"":""PaletteFormatConstant"",""name"":""PALETTE_CHANNEL_MAX""},""reason"":""Same RGB palette representation: three channels, 256 colors and six-bit channel levels.""}]"
include/BASE/TILE.h	TileFlag	9	3	3	0	Tile-index and flip bits describe the tile word, not monster quantities or map metadata.	"[{""name"":""TILE_INDEX_MASK"",""retail"":4095,""strict"":4095},{""name"":""TILE_FLIP_VERTICAL"",""retail"":16384,""strict"":16384},{""name"":""TILE_FLIP_HORIZONTAL"",""retail"":32768,""strict"":32768}]"
include/BASE/WINMGR.h	WindowColorCycleMode	6	4	4	0	Color-cycle policy and the saved cycle subset differ from a complete palette.	"[{""name"":""WINDOW_COLOR_CYCLE_DEFAULT"",""retail"":0,""strict"":0},{""name"":""WINDOW_COLOR_CYCLE_COMBAT"",""retail"":1,""strict"":1},{""name"":""WINDOW_COLOR_CYCLE_WORLD_VIEW"",""retail"":2,""strict"":2},{""name"":""WINDOW_COLOR_CYCLE_COMBAT_ALTERNATE"",""retail"":3,""strict"":3}]"
include/BASE/WINMGR.h	WindowManagerConstant	13	1	1	0	Color-cycle policy and the saved cycle subset differ from a complete palette.	"[{""name"":""WINDOW_CYCLE_PALETTE_BYTES"",""retail"":96,""strict"":96}]"
