source_file	source_enum	old_name	value	canonical_file	canonical_name	reason
include/BASE/message.h	MessageType	SPELL_MESSAGE_MOUSE_DOWN	1	include/BASE/message.h	MESSAGE_KEY_DOWN	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	INIT_MENU_KEY_PRESS	1	include/BASE/message.h	MESSAGE_KEY_DOWN	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	ADVMGR_REMOTE_WAIT_COMMAND_MESSAGE	1	include/BASE/message.h	MESSAGE_KEY_DOWN	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	HERO_UI_HOVER	4	include/BASE/message.h	MESSAGE_MOUSE_MOVE	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	ADVMGR_REMOTE_WAIT_MOUSE_MESSAGE	4	include/BASE/message.h	MESSAGE_MOUSE_MOVE	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	SPELL_MESSAGE_HOVER	4	include/BASE/message.h	MESSAGE_MOUSE_MOVE	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	VIEW_WORLD_MOUSE_MOVE	4	include/BASE/message.h	MESSAGE_MOUSE_MOVE	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	INIT_MENU_MOUSE_MOVE	4	include/BASE/message.h	MESSAGE_MOUSE_MOVE	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	SPELL_MESSAGE_SELECT	8	include/BASE/message.h	MESSAGE_LEFT_BUTTON_DOWN	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	VIEW_WORLD_MOUSE_UP	16	include/BASE/message.h	MESSAGE_LEFT_BUTTON_UP	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	SPELL_MESSAGE_CANCEL	32	include/BASE/message.h	MESSAGE_RIGHT_BUTTON_DOWN	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	NORMAL_DIALOG_DISABLE_MESSAGE	512	include/BASE/message.h	MESSAGE_WIDGET	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	NET_BOX_UPDATE_MESSAGE	512	include/BASE/message.h	MESSAGE_WIDGET	Same message payload domain and dispatch value; use the shared command directly.
include/BASE/message.h	MessageType	INIT_MENU_MESSAGE	512	include/BASE/message.h	MESSAGE_WIDGET	Same message payload domain and dispatch value; use the shared command directly.
