case	unit	flags	changed_surface	base_file_sha256	variant_file_sha256	function	base_source_sha	variant_source_sha	base_size	variant_size	base_text_sha16	variant_text_sha16	base_relocs	variant_relocs	effect
empty_guard_icon	BASE/icon2bc	O2	add empty guarded header include	a4ef252950c4c83c22c7b69a8a423cbaa02317a0e0b5157294609485a791ba90	af5e4ec5fe76ec9974966847aefbddea8138872ecbdcc70fc57931b3adddc7b7	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1368	1368	7857fbb3cf9e1100	2ccf31457e5fe328	89	89	function changed; source hash did not
typedef_alias_icon	BASE/icon2bc	O2	empty probe -> unused typedef int	8099cdc3b7a111ebcf6768c1da1ef69382cc4b966c1bdfb11de792f749765272	c50cef947c0287cfdabdb3524af8653f277c2818b6bafa22355fc40ff5302bf1	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1368	1368	2ccf31457e5fe328	2ccf31457e5fe328	89	89	raw neutral in this state
typedef_enum_icon	BASE/icon2bc	O2	empty probe -> unused 3-value typedef enum	8099cdc3b7a111ebcf6768c1da1ef69382cc4b966c1bdfb11de792f749765272	1f719bb5867a6ac22ec5426118ef526d92d6815edc3dcc91dcd7cb064c4ece0f	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1368	1390	2ccf31457e5fe328	81826fc30d9325a5	89	92	whole function allocation changed
enum_order_icon	BASE/icon2bc	O2	reverse unused enum member order	1f719bb5867a6ac22ec5426118ef526d92d6815edc3dcc91dcd7cb064c4ece0f	6495830ecfe6672631b1e444fd4199f0a46f7bf2f94ace1d84feb9a3b29c7482	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1390	1390	81826fc30d9325a5	81826fc30d9325a5	92	92	raw neutral in this state
enum_value_icon	BASE/icon2bc	O2	unused enumerator 0x8000 -> -1	6495830ecfe6672631b1e444fd4199f0a46f7bf2f94ace1d84feb9a3b29c7482	d1f6c5eac5d3058c3b90d03d6f0bd8d1c2681038796bfaaf543ed44dc0723b6f	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1390	1390	81826fc30d9325a5	81826fc30d9325a5	92	92	raw neutral in this state
struct_icon	BASE/icon2bc	O2	empty probe -> unused one-int struct	8099cdc3b7a111ebcf6768c1da1ef69382cc4b966c1bdfb11de792f749765272	83ac4e1ea91cbd19ff88616a2416177b151d6677748c28c3e63fb0286b9e5dd8	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1368	1372	2ccf31457e5fe328	cd5377449e4703f5	89	89	function changed
class_vs_struct_icon	BASE/icon2bc	O2	equivalent public class replaces struct	83ac4e1ea91cbd19ff88616a2416177b151d6677748c28c3e63fb0286b9e5dd8	e3bc787feec50484a02c17fade07e96bf230d369df69eacbc84abd715ce649d1	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1372	1372	cd5377449e4703f5	cd5377449e4703f5	89	89	raw neutral in this state
size_empty_icon	BASE/icon2bc	O2	add repository SIZE(class,4)	e3bc787feec50484a02c17fade07e96bf230d369df69eacbc84abd715ce649d1	c2da5541128c2adcb7c7c12748f08ded5e1b7539d37dc373457fa90f3c9805ae	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1372	1372	cd5377449e4703f5	cd5377449e4703f5	89	89	MSVC-empty SIZE is raw neutral
size_active_icon	BASE/icon2bc	O2	class -> typedef-array sizeof assertion	e3bc787feec50484a02c17fade07e96bf230d369df69eacbc84abd715ce649d1	e66c7a2cb3c10ce47c74415bd74ec23ad13a3c22a1d8b52a93dc8edb8adf4667	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1372	1302	cd5377449e4703f5	f8240eebb0bbd80c	89	88	active assertion changes function
accessor_decl_icon	BASE/icon2bc	O2	add unused member-function declaration	e3bc787feec50484a02c17fade07e96bf230d369df69eacbc84abd715ce649d1	0dde32d0bc082976e3eb9d4c14931778780ca5aca99b3960e2d5841956f07e79	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1372	1302	cd5377449e4703f5	f8240eebb0bbd80c	89	88	declaration alone changes function
