rva,name,unit,size,kind
0x1000,?ConvertSmackerPalette@@YIXPAE@Z,SOURCE/SMACKMGR,0x4e,func
0x104e,?DoAdvance@@YIXPAUSmackTag@@HHHH@Z,SOURCE/SMACKMGR,0x21f,func
0x126d,?SmackManagerMain@@YIXXZ,SOURCE/SMACKMGR,0x118c,func
0x23f9,?ShutDownSmacker@@YIXXZ,SOURCE/SMACKMGR,0x56,func
0x244f,?PlaySmacker@@YIHH@Z,SOURCE/SMACKMGR,0x17f,func
0x25ce,?ExpansionCampaignRect@@YIHHH@Z,SOURCE/SMACKMGR,0x65,func
0x2633,?PointInRect@@YICHHPAUtag_rect@@@Z,SOURCE/SMACKMGR,0x89,func
0x26bc,?PrintSummaryInfo@@YIXPAUSmackSumTag@@@Z,SOURCE/SMACKMGR,0x251,func
0x2910,?NoShowCombatLog@combatManager@@QAEXPAD@Z,SOURCE/DRAWING,0x41,func
0x2951,?ClearCombatMessages@combatManager@@QAEXH@Z,SOURCE/DRAWING,0xda,func
0x2a2b,?CheckUpdateCombatMessages@combatManager@@QAEXXZ,SOURCE/DRAWING,0x5d,func
0x2a88,?CombatMessage@combatManager@@QAEXPADHHH@Z,SOURCE/DRAWING,0x3f8,func
0x2e80,?CombatMessage@combatManager@@QAEXH@Z,SOURCE/DRAWING,0x3fe,func
0x327e,?ResetLimitCreature@combatManager@@QAEXXZ,SOURCE/DRAWING,0x126,func
0x33a4,?UpdateCombatArea@combatManager@@QAEXXZ,SOURCE/DRAWING,0x6a,func
0x340e,?SetupGridForArmy@combatManager@@QAEXPAVarmy@@@Z,SOURCE/DRAWING,0x213,func
0x3621,?UpdateGrid@combatManager@@QAEHHH@Z,SOURCE/DRAWING,0x5fb,func
0x3c1c,?DrawBackground@combatManager@@QAEXXZ,SOURCE/DRAWING,0x364,func
0x3f80,?UpdateMouseGrid@combatManager@@QAEXHH@Z,SOURCE/DRAWING,0x64c,func
0x45cc,?DrawFrame@combatManager@@QAEXHHHHHHH@Z,SOURCE/DRAWING,0x173f,func
0x5d0b,?DrawSmallView@combatManager@@QAEXHH@Z,SOURCE/DRAWING,0xb99,func
0x68b0,?wsnet_init@@YIFXZ,SOURCE/Wsnetwin,0x5b5,func
0x6e65,?wsnet_term@@YIXXZ,SOURCE/Wsnetwin,0xd2,func
0x6f37,?wsSendMessage@@YIXHEGPAX@Z,SOURCE/Wsnetwin,0x1f5,func
0x712c,?wsnet_snd@@YIHHHPAX@Z,SOURCE/Wsnetwin,0x61,func
0x718d,?wsnet_rcv@@YIFFGPAX@Z,SOURCE/Wsnetwin,0xa7,func
0x7234,?wsProcessMessages@@YIXXZ,SOURCE/Wsnetwin,0xaf,func
0x72e3,?wsEvaluateMessage@@YIXKH@Z,SOURCE/Wsnetwin,0x37d,func
0x7660,?wsWaitForFirstGuest@@YIHXZ,SOURCE/Wsnetwin,0x2e,func
0x768e,?wsWaitForExtraGuests@@YIHXZ,SOURCE/Wsnetwin,0xb8,func
