descriptor_sha256	scope	variant	focused_scores	raw_result	disposition
e335fede7b94e4fe3394f88c8a1c1f1d1d9c043f89068cdbaf7e890dacd27c48	BlitBitmapToScreen	canonical decomp AND second-overlap predicate and direct bitmap parameter	80.04	0x17b base / 0x18b retail; base frame 4 / retail 8	REJECT semantic CFG error and missing retail spill
40374a91442b33fb614727297c665186dd52c623f56b925692d0f07b71b76ff6	BlitBitmapToScreen	retail OR second-overlap predicate with volatile bitmap spill	95.53	0x18c/0x18c objects; frame 8/8; first raw +0x18; delta 195; rel helper 23/24	RETAIN real predicate and frame recovery
21b6dea45f7eee06fb90b110d02c99e1ed747db4b74e810b0eb994f7b4fc3ae2	LogTruncate	named lineEnd direct word append	92.50	byte-identical to canonical direct word spelling	REJECT no emitted change
a0c173eb146489e0c86b67b4bd85001110e55f9302cb74b6501f58b3cde199ae	LogTruncate+LogStr+LogInt	replace direct word newline append with strcat	70.80/65.54/88.81	regressed all three logging functions under combined TU state	REJECT restore direct word append
41603e06734b096f672c59b8723a0a2c2b54e6e12a3b12902504fd4de0622751	FadeTo	volatile level loop variable	84.88	larger spill/schedule divergence from retail	REJECT canonical retained maximum is 95.12
75f4879ce51c0b0e10afdbe41f5b4df750b423ecd8a9408d796b5aa13d791e78	CreatePCXFile	runEnd < width rewritten as width > runEnd	97.32	no focused score or useful structural change	REJECT no gain
9f183b3a904964a44c978d0ff4128aed45864ed63cfc4765b410764e38e611b7	CreatePCXFile	paletteData[i] rewritten as i[paletteData]	97.32	no focused score or useful SIB change	REJECT no gain
1ee1e298c01c4a77e7480bf2ac44d9a6d6da239c3535399919c65cb6f16b09e2	SGenRand	volatile iLastSeed store in loop	52.95; SRandom 52.65; SIncRandomize 50.53	mix spill and broad random-cluster TU regression	REJECT restore nonvolatile store
f9d8c695a9935dfbbccd8fd336392f0b91e49ef08c241ebcc0886440d22ab16c	GetDataEntry	boolean-mask entryY adjustment	95.90	0x381 base / 0x386 retail; delta 375	REJECT arithmetic shape not retail
6e493558a3b9b198a42d5333f8340f399515ac9ac73b8dd6d53edc7368d01bdc	GetDataEntry	conditional-operator entryY adjustment	99.10	0x386/0x386 code; frame 0x9c/0x9c; delta 12; rel 59/59	RETAIN structural arithmetic recovery
0ae421c996e094ee618b5b5130339c7ef1d1504b573492316997ab302eace65f	DataEntryWindowHandler	direct structured early returns	48.09	large block-layout regression	REJECT restore shared labels
634e78243bb742f120f76d6fc92a446f488f06791c1b2ab0cf809b010a5a04a7	DataEntryWindowHandler	possibleCancelEvent label before normalEvent	93.80	0x16f base / 0x173 retail; first raw +0x50; rel 23/23	RETAIN retail body order
23b750fb1948e5d2ef1f95b4b1fdbce1a6ace36cda9114124a42ab2a2476e31a	DataEntryWindowHandler	volatile field8 read in possibleCancelEvent tail	93.80	byte-identical focused result to retained label-order state	REJECT no emitted change
