# BASE/icon2bc bounded TU-state/lifetime retry, checkpoint 625e799
# Trigger: source-matching commit 06e01ad changed include/SOURCE/X_GLOBAL.h after the a45e64f matrix state.
# Target: IconToBitmapColorTable, RVA 0xd32a0, retail function size 0x5af, target object SHA-256 a37407754627bc06241364dbb769148a02223a8e05bee63d57bebfa3b43d4f82, target .text SHA-256 15096a6b70e855d536084307e3f0f9caff5f35f7da2c157ef2fe1a80feeb647c, target relocations 91.
# Current headers: X_GLOBAL.h ec3276c53bc952d78b348ebfb107c45cc0030b6e75bf891b3a1b84bfd2c3e818; icon.h 809577ac8c7a091878b5ff40de5d96d37fe2074f480d45207ba6d7ccd3ef4e22; Misc.h 5f54db2d7e6dd85cb245c8cab8aa0b24d79aec998ab3bbf558dc24c594433233.
# Prior X_GLOBAL.h at a45e64f: bf73ee8242bf9ef85786075a62fea0a4501faea2d71fde8068d9b863aa6d8914. The only source diff changes gfSSLogisticsMod/gfSSNavigationMod from float pointers to fixed arrays.
# Retained acceptance threshold remains 72.479%. Canonical was restored because every fresh state remained below it.
# Scope was deliberately bounded to the matrix-authorized include/TU-state ordering and X/destination lifetime boundary. No predicate/count synonym was replayed. No regex or AST permutation tool was used.
source_sha256	object_sha256	match_percent	base_target_relocs	result	state_and_evidence
f060c410fd0e8bd0140d2ce4e83c70236ef3d936fe5b52366003b82e563a4ba0	78890174e939d1790b5de61991ea30a35ab105f66f718f889746f6d0c10bec16	67.24	88/91	canonical-current-header	Untouched checkpoint source, final focused rebuild: function/.text size 0x56d and .text SHA-256 cc88318dfc091a9b862f417596894ec969bf30a59da7db246944ac002f7aed43. The initial full-build object identity was 5271a4a29704a32dab91404879d2184a7a3a27b160a5cbf6cb688bd1be86e9db; non-code object data changed on recompilation while score/relocations/source remained fixed. Prior a45e64f object 6993dc10a359ffec1925db73a048c6463b0a4edf9f1d2c138ed6fd1e80b9da6a measured 72.22%; the X_GLOBAL header change alone caused the live dip.
19c5fb0a7b57827300955b9fee0faa3f5fc0f52a4989892b8da05d852cd692b8	a922dc01d62242e2f0fb141fbea4c927444c10f9e4f826407540006bfb274cf5	68.49	90/91	clean-baseline	Independent complete decoder with X_GLOBAL before Misc and destination initialized after gCTY.
0397b7dad3e2eef727e13584ddb7a0ccd77ae57f878737b22eeeac3d8d3ffa33	6e9a34ce48442d06d78287149a18b6e60a4a18538b334d77cce98e02fb0004e6	67.48	90/91	rejected	Deferred X_GLOBAL include until after the file-static scratch declarations. Private suffixes fell from S1656..S1672 to S926..S942 rather than recovering retail S1629..S1645.
55eb29cb93852d6e70d24fcd42392d9a2358eebfc76946110435ee524ccdc1ef	edb89feea3655a74aa68b17dee5e10d2e74ee7825de5ee96466b97f4d8af4384	68.49	90/91	byte-score-neutral	Parsed Misc before X_GLOBAL. Object bytes changed, focused score did not improve.
e2c68470487c34354df6493390d8fae07bdcad8fae0704b04468fe54c288e57c	0277af2cdc497f53a0fbd176f78d4936c386cbb8d97c3f6c2563953d35f8ee91	68.01	90/91	rejected	Moved destination initialization from after gCTY to after gCTPitch.
9376447b8db91956c8310434f2f7acd2f2868da948e68f7874cbad1732e69998	78cd71657e2e288d67522e2b50461d5bf2be58d9d1e711c09764fb86189e6f93	68.02	90/91	rejected	Moved destination initialization to after initial X publication and before pitch.
d5ebe49928132f38dc5a6dc740ec8e05de944575d8814ce6785d73882eea1a0c	45c599bb843ab159790e864f5023926c13484680c289e4eebbe72c59dcc4b6bc	67.87	90/91	rejected	Moved destination initialization immediately after gCTEntry.
a26dc8e5277f3aed9ea91286dcdd5d37c9f0336d98e2dd1732faa473c1820938	6c4c647cedc5bd5182bf9552a3fbfcd56fad120fb03db549c8c15bce8d9242d2	68.58	90/91	best-fresh-rejected	Introduced a long-lived currentX local while keeping destination initialization after gCTY. This is the best current-header state but remains 3.899 points below the retained threshold.
3eb77a7ba591ff24dea5effdd898a0717cd227de981f36251f40cd7b1b0dfa25	7a5b0fde561657c259844b7d99ec833213b2a035f2cce5dfc3a84434b2f84e6a	68.57	90/91	rejected	Same currentX lifetime with destination initialized immediately after gCTEntry.
7ec80cac1a9b09b68c97d0826926fd76e74d4dc4a587a838ce081d9e2e488308	a88b33d7efe39f730d59e6ba5cb33fd7a989c41d7e10897dcd1e2983a61886f2	66.48	88/91	rejected	Separated currentX computation from gCTX0 publication. It removed the excess gCTX0 loads but broadly changed setup/register allocation and lost two relocations.
f862374bbabf1859977d52e2152cb63aa0981305326867f8430d95b714c5fccd	45697ad72455023af135c1179a3a74684b4a56ad6593f70d158e2ed4c7694ddb	68.58	90/91	tied-best-rejected	Published gCTX0 first, then loaded the long-lived currentX local. It restored the prior relocation shape but did not exceed the 68.58 best.
# Current full-header parsing shifts the clean decoder's private scratch symbols from retail S1629..S1645 to S1656..S1672, exactly +27. Moving the include after the scratches overshoots to S926..S942.
# The trigger is closed: neither include ordering nor the adjacent X/destination lifetime boundaries beat 72.479. Do not replay these states unless X_GLOBAL.h, icon.h, Misc.h, or an actual predecessor/include surface changes again.
