# SOURCE/PHILAI philAI::RVOfPosition controlled typedef-state census
# checkpoint	9a51864ee2c508f7a7687ce0d782a439daa8ff0b
# normalized_source_hash	2061cfe28805
# command	python3 scripts/tu_state_noise.py --source src/SOURCE/PHILAI.cpp --rva 0x3e918 --trials 128 --seed 0x52564f50 --families typedef --state-summary /tmp/rvofposition-states.json --output /tmp/rvofposition-noise
# identity	candidate-paired and data-canonicalized target text + objdiff boundary + ordered relocation stream, with only numeric $SG/$T counters folded by the census
# result	128 typedef trials produce nine normalized target states; no generated declaration remains in source and no state is exact
state	state_identity	representative_trial	trial_occurrences	score	objdiff_size	text_sha	normalized_reloc_sha	diff_bytes_from_canonical	diff_bytes_from_retail_cv	differing_candidate_offsets	trials_in_1_through_128
shortened-a	dc6a41395ea84e8d	1	16	99.654120	1580	5dccf2637e3814a8	486557910edb793b	508	519	shifted-after-0x375	1-2,18-19,35-36,52-53,65-66,82-83,99-100,116-117
shortened-b	2693d01315b6db93	3	24	99.668236	1580	f77f75791899a7a0	486557910edb793b	513	513	shifted-after-0x375	3-5,20-22,37-39,54-56,67-69,84-86,101-103,118-120
shortened-c	7731f7d0a60894ec	6	8	99.672940	1580	1022eb8b7a968a6f	486557910edb793b	515	511	shifted-after-0x375	6,23,40,57,70,87,104,121
best-sum-order-a	d9d664abbdf79ade	7	8	99.990585	1581	e8a1715f5910a4c4	ddc506da1b1c1457	11	4	0x217,0x21b,0x335,0x338	7,24,41,58,71,88,105,122
best-sum-order-b	501af9ff4860f5ec	8	40	99.990585	1581	78d863eb5d7e7f69	ddc506da1b1c1457	11	4	0x217,0x21b,0x338,0x33b	8-12,25-29,42-46,59-63,72-76,89-93,106-110,123-127
chance-scaling-a	7be6e8c34d7c4df3	13	8	99.971760	1581	f5e68d084deea01f	ddc506da1b1c1457	4	12	0x217,0x21b,0x28b,0x28f,0x2cd,0x2d1,0x30f,0x313,0x335,0x33b,0x352,0x355	13,30,47,64,77,94,111,128
chance-scaling-b	ace27d4b10445c37	14	6	99.976470	1581	fc21c3080e4f453b	ddc506da1b1c1457	6	10	0x28b,0x28f,0x2cd,0x2d1,0x30f,0x313,0x335,0x33b,0x352,0x355	14,31,48,78,95,112
chance-scaling-c	b7f7ce6c631754f8	15	6	99.976470	1581	942992b9ba9dfe60	ddc506da1b1c1457	2	10	0x28b,0x28f,0x2cd,0x2d1,0x2fd,0x301,0x335,0x33b,0x352,0x355	15,32,49,79,96,113
canonical	3ff97491d4bf65ff	16	12	99.971760	1581	ee5cf247962f9591	ddc506da1b1c1457	0	12	0x217,0x21b,0x28b,0x28f,0x2cd,0x2d1,0x2fd,0x301,0x335,0x33b,0x352,0x355	16-17,33-34,50-51,80-81,97-98,114-115
# The state cardinality is nine. The canonical state has 13 observations when the unmodified baseline is included; the table counts only its 12 generated trials.
# Before the census, retail stack slots exposed three reconstruction errors: the current and target StrategicValueOfPosition chance outputs were aliased, the adjacent-monster and primary-event chance outputs were aliased, and separate adjacent/main event-value locals were used where retail reuses one slot. The corrected source gives each simultaneously live chance its own local, reuses eventValue after the adjacent phase, and confines the debug-only object name to its retail lifetime.
# The corrected function has the retail 0xc8 frame, all modeled EBP displacements, the 1581-byte CodeView boundary, and all 56 ordered relocation targets/addends. The raw retail COFF extent is 1584 bytes because it carries three trailing alignment NOPs outside the CodeView boundary; diff_bytes_from_retail_cv excludes those NOPs.
# Six states retain the 1581-byte boundary and normalized relocation stream. Their transitions are only integer operand/evaluation order: chance-product accumulators at +0x217..+0x313 and the strategicDelta/totalValue/eventValue sums at +0x335..+0x355. The two best states solve every chance-scaling transition but select the two non-retail three-term sum orders; both retain the adjacent chance-product reversal at +0x217/+0x21b.
# The three shortened states are 1580 bytes. A five-byte transition near +0x375 is partly compensated later, leaving a net one-byte shortening; relocation 21 moves from +0x37b to +0x376 and relocation sites 22..55 remain one byte early. Their 56 target identities/addends stay ordered, but their source-site topology and downstream byte alignment are not retail.
# Representative objects for all nine states were compiled and compared pairwise with canonical and against their paired retail object. The raw retail delta including the three trailing NOPs is respectively 522, 516, 514, 7, 7, 15, 13, 13, and 15 bytes in table order.
# Reversing the seven commutative source expressions and adding alternate parentheses did not change code generation. Splitting the chance product into two compound assignments added a store/reload and grew the function by six bytes. The readable single-expression forms were restored.
# No state reaches exact closure, so this census records no retained exact/fuzzy maximum. The disposable best score, 99.990585%, is evidence of two reachable compiler schedules, not a source result or canonical maximum.
