source_sha256	read_match	outcome
beb43279e6234745c7b2fbedf476e5888789500ea5ee55d692c48e5a57e1bcfa	97.854300	PINNED
a4d39de49e99577f34672b2d876c756fa451c50ddac51a18995d205bed06f2cb	97.059600	PINNED
9d501d60a4d1a24d4f04985eafe9a5b5bcda59b9c62682482a142e7516145112	98.675500	PINNED
1a7524f887049d33b33abf1e16d2ed970dc8c638caf1ef8db10fe7c81e02c1c8	98.649010	PINNED
0b47ca2e3735b888cac6961f0dbacdc25300c8cf961ed4b72b8a9bb21e13522c	98.662254	PINNED
feae39dbcb0d9b193ee4710b68f5103a806332cca790ed2631e5fba311b0900d	98.675500	PINNED
cf3c1d744dc3a4f21df16c0699d58e6f5a53e43b8728aed7dbdd40419f21efe4	97.059600	PINNED
cf6e706e936bc397ed3741b2ef3fd69cf8a3fa9dd27a7dfc02153225af3aa0b4	95.715230	PIN_BYTES_MOVED:?Main@textEntryWidget@@UAEHAAUtag_message@@@Z
7bcfda4f0f829725aa537cac59636f71b8ea635bbade1a004b4e2d59a1295d3a	98.675500	PINNED
f80c593b0f38aa12c22f5e2358820305dc29eac228244d6fdf4cfea4388f1771	98.649010	PINNED
05cc26e8555e82df1fd80263c014abd64cee151eca9bc4dcc592ade0a041b89a	98.675500	PINNED
63c0a61d020809e4a93ae8370083fa9d571016035e04a6cbbab53b041f61f62c	98.649010	PINNED
b0945e7712af77a34b0b7cabfd61487a882318586c3c3c19072b461a5a1d2fcb	98.675500	PINNED
58dd0a631a173c97d86bddc1ad650ca5192179358058784951f596536b8e33d7	97.854300	PINNED
d4c59f525aa197eb3abb4f21ecfb6a722be8cc94c0bff8e5f34b7bf78673c3fa	98.675500	PINNED
518f646fb06d2b33d45f5517d9efa801dbf19ba4faef40e987d431d1d0022a4c	98.635765	PINNED
6fcace4a10a1388ea8019baf9b2d55c57c54003ae853c778b64f85780e197032	98.675500	PINNED
cae12638f6a7f7f7199b030c09973f9e6639946fc901e17bb5cda849a2476f08	98.675500	PINNED
1d3909d1daa0d6fca68bc99b2e309fc04f79d9ad5a338d7ca1da4ffc54d8eb3d	98.675500	PINNED
476ba860dea4a09a5b3e618f31c913db5d709e87aedd5d85f43818d35c0f6ee7	98.649010	PINNED
11125b0f3b8093ad69cf398239551f70dc2ac439517dc4088ac0db44e5e3fbae	98.675500	PINNED
a13d010dbd3ca491e9d4fa16b8157b587a91b1bc1c292c6e5b219b25eb40f533	95.754970	PIN_BYTES_MOVED:?Main@textEntryWidget@@UAEHAAUtag_message@@@Z
26355c420cfdbf58c05973b555b04c5d64738e9fe9a63fc344fd1961acd0cd35	98.675500	PINNED
