recorded_utc	unit	symbol	src_hash	score	seed	trial	family	insertion	tag	run_dir
2026-07-22T15:03:29+00:00	SOURCE/PHILAI	?GetBestCreature@philAI@@QAEXPAVtown@@AAUBHC@@AAM@Z	ebd55e53ed54	100.0000	1195524946	9	typedef	target	47424352-0009-201185fe	20260722-150036-SOURCE-PHILAI-0x3db58
2026-07-22T15:28:47+00:00	SOURCE/HERO	?GetSSLevel@hero@@QAECH@Z	71d5d1c8e4f7	100.0000	1196643148	16	typedef	target	4753534c-0016-2c8e4d75	20260722-152828-SOURCE-HERO-0x705c2
2026-07-22T17:22:24+00:00	SOURCE/RECRUIT	?Open@recruitUnit@@UAEHH@Z	0dc16a4b92ed	100.0000	1380929614	8	typedef	target	524f504e-0008-7df19104	20260722-172035-SOURCE-RECRUIT-0x8b49c
2026-07-23T10:06:12+00:00	BASE/BITMAP	?DrawToBufferCareful@bitmap@@QAEXFF@Z	292de40d8431	100.0000	1112359248	311	forest	target	424d4150-0311-129df431	20260723-100606-BASE-BITMAP-0xd0160
2026-07-23T10:16:12+00:00	BASE/FONT	?LineLength@font@@QAEHPADH@Z	4702f87fc49b	100.0000	1179602516	4	forest	target	464f4e54-0004-3bc896b0	20260723-101607-BASE-FONT-0xc7790
2026-07-23T10:18:24+00:00	BASE/FONT	?DrawBoundedString@font@@QAEXPADHHHHHH@Z	f827dcf88c44	100.0000	1112495438	6	forest	target	424f554e-0006-074d63e0	20260723-101818-BASE-FONT-0xc7470
2026-07-23T11:11:22+00:00	SOURCE/GAME	?InitRandomArtifacts@game@@QAEXXZ	dcdf3a47cb98	100.0000	1397509972	8	forest	target	534c4f54-0008-3d392790	20260723-110743-SOURCE-GAME-0x7fc0a
2026-07-23T11:17:19+00:00	SOURCE/GAME	?InitRandomArtifacts@game@@QAEXXZ	bf6d96025187	100.0000	1397509972	22	forest	target	534c4f54-0022-e38fcc8a	20260723-111346-SOURCE-GAME-0x7fc0a
2026-07-23T11:33:31+00:00	BASE/Misc	?FadeTo@@YIXPAE0H@Z	f51ec4d719e4	100.0000	1178682437	2	forest	target	46414445-0002-86d1ffc5	20260723-113324-BASE-Misc-0xc64e0
2026-07-23T11:37:19+00:00	BASE/Misc	?FadeTo@@YIXPAE0H@Z	2a3aab3dd1c2	100.0000	1178682437	2	forest	target	46414445-0002-86d1ffc5	20260723-113711-BASE-Misc-0xc64e0
2026-07-23T11:40:27+00:00	BASE/Misc	?FadeTo@@YIXPAE0H@Z	f51ec4d719e4.6cc274dabc50	100.0000	1178682437	2	forest	target	46414445-0002-86d1ffc5	20260723-114021-BASE-Misc-0xc64e0
2026-07-23T11:51:34+00:00	SOURCE/COMMAND	?ResetCyclingCreatures@combatManager@@QAEXXZ	bcc2bb1d844a	100.0000	1129923404	1	forest	target	4359434c-0001-8384c67f	20260723-115127-SOURCE-COMMAND-0x30b91
2026-07-23T12:18:28+00:00	BASE/EXEC	?MainLoop@executive@@QAEXXZ	1121c22f25a2	100.0000	1163412803	3	forest	target	45584543-0003-06b4c1c0	20260723-121822-BASE-EXEC-0xd1a90
2026-07-23T13:27:13+00:00	SOURCE/GAME	?RestoreCell@game@@QAEXHHHHPAVmapCell@@H@Z	ac51ecd19be7	100.0000	1213156658	1	forest	target	484f4d32-0001-76e1c088	20260723-132705-SOURCE-GAME-0x8480a
2026-07-23T14:15:38+00:00	SOURCE/AI	?GetTraitorMask@combatManager@@QAEHH@Z	f4bc452ff45c	100.0000	1213156658	3	forest	target	484f4d32-0003-acb2ec2e	20260723-141532-SOURCE-AI-0xc2cf4
2026-07-23T14:59:20+00:00	SOURCE/ADVMGR	?GetCloudLookup@advManager@@QAEHHH@Z	793c7f912a43	100.0000	1213156658	8	forest	target	484f4d32-0008-a46e452f	20260723-145912-SOURCE-ADVMGR-0x5b7d3
2026-07-23T15:26:35+00:00	SOURCE/COMMAND	?ProcessNextAction@combatManager@@QAEHAAUtag_message@@@Z	620387977505	100.0000	1213156658	1	forest	target	484f4d32-0001-76e1c088	20260723-152629-SOURCE-COMMAND-0x30536
