# BASE/icon2bc bounded current-header setup retry, checkpoint a0b17fb
# Target: IconToBitmapColorTable, RVA 0xd32a0, retail size 0x5af, target object SHA-256 a37407754627bc06241364dbb769148a02223a8e05bee63d57bebfa3b43d4f82, target .text SHA-256 15096a6b70e855d536084307e3f0f9caff5f35f7da2c157ef2fe1a80feeb647c, target relocations 91.
# Trigger: commit 1f433e8 removed DATA(0x004fd888) extern unsigned char (*iGetSSByAlignment)[6] from include/SOURCE/X_GLOBAL.h. Its SHA-256 changed from the prior matrix's ec3276c53bc952d78b348ebfb107c45cc0030b6e75bf891b3a1b84bfd2c3e818 to 3125d63d5f7996a55145652918a107e50e5b723c909071407996d8eacff86bc2. icon.h remains 809577ac8c7a091878b5ff40de5d96d37fe2074f480d45207ba6d7ccd3ef4e22 and Misc.h remains 5f54db2d7e6dd85cb245c8cab8aa0b24d79aec998ab3bbf558dc24c594433233.
# The trigger was material: untouched canonical changed from size 0x56d with 88/91 relocations to size 0x57e with 91/91 relocations. This justified rechecking the first-divergence setup/lifetime shapes; prior score measurements remain historical only.
# Retail setup signature: prologue loads srcIcon->m_data into ESI at +0x0a before push EBP at +0x0d; retains 13*frame in EBX; reads entry.x and entry.srcOffset through EBX+ESI; forms entry in EDI; publishes entry, source, then X0. Canonical matches through +0x11 but coalesces 13*frame and entry in ECX, so the first relocation-masked byte mismatch is the ModRM byte at +0x12 (candidate lea ECX vs retail lea EBX).
# Full COFF object hashes can change on a repeat compile because of non-code CodeView records. Source hash, score, function size, relocation result, and instruction signature are the stable row identity; the object hashes below are from the scored runs.
source_sha256	object_sha256	match_percent	function_size	base_target_relocs	result	state_and_evidence
f060c410fd0e8bd0140d2ce4e83c70236ef3d936fe5b52366003b82e563a4ba0	dda46dfcb25e53719e363f3eaf7e22efb8b90735fdb2d86035bd3da7dd8e85ad	69.95	0x57e	91/91	canonical-pre-documentation	Untouched checkpoint source. Preserves the exact retail prologue through +0x11 and is the best live current-header state. Final canonical differs only by the replay-guard source comment and has identical .text.
f35032add80ee993d60da9ac82f176a337ab7518720ee404665e63ff4a252daa	b0bf39411422dd2eeb8673aa7632ee795225de491e22dfa53dda4a7734d158dd	69.47	0x57f	91/91	rejected	Adjacent Icon2b-style explicit entry declared before data, with X/source/entry publication order. It pushes EBP at +0x0a and loads data into EDI at +0x0b; retail loads data into ESI at +0x0a and delays push EBP to +0x0d. The extra pointer lifetime therefore worsens the prologue and makes entry ECX instead of retail EDI.
72caaee826e5933f231119950a85032101202d6e3616da7cf366dad20b30512e	9e68e8dcb0c4b7d588982204e79416e8055c9d3ce01af5d11fd17ec85b68047d	69.47	0x57f	91/91	rejected	No explicit entry local; compute X, publish entry, then publish source. This has the same early EBP push/data-in-EDI allocation failure as the explicit-entry variant and does not preserve canonical's exact prologue.
6ea40055db94dc64175dc3d50ccce7d109f771d24936de32115041ff3894d7b5	4cdd8f8e353ec0edff73785614c0a0be19d0708a05eafe470eb618f72ba03914	69.75	0x57e	91/91	rejected	No explicit entry local; publish entry, source, then compute X. It preserves the retail prologue through +0x11 but publishes entry immediately at +0x16. Retail first retains the frame offset in EBX, reads x/source, forms EDI, and only then publishes. It remains below canonical and does not recover the EBX/EDI split.
cafddbea94d85aafb1c4a61537f279eb5850c457938d627f1b4aa0829d55b75f	29807de3ef3013237e214fc20edc39c3e825f62f8af2b0e3489e1c2d123f6da3	69.75	0x57e	91/91	byte-score-neutral-rejected	Data declared before an explicit entry local; publish entry, source, then compute X. MSVC coalesces it to the same score/size and undesirable setup signature as the no-alias entry/source/X spelling, so the alias does not create the retail EBX/EDI lifetimes.
c77ac4e79dcbb18022abdcce5b146f78562f4556a3ae531ce5691b1a3f6f3933	e273c4fbf3a806e5e7df50c98eed1ed41377cb2238585c3608d61ba79494713c	69.95	0x57e	91/91	retained-canonical	Canonical restored with a two-line-count-preserving source replay guard. .text SHA-256 is 54b5211334240ba1749c8c53f253abd40b8fd28039b7b55fb15985bf99ffb157, identical to pre-documentation canonical.
# Relocation audit: homm2 reports base=91, target=91, only-base=0. All external/static relocation targets agree; the changed header recovered the three relocations missing in the prior header state.
# Relocation-masked raw audit of final canonical: candidate size 0x57e versus retail 0x5af. Masking the union of 173 distinct four-byte relocation offsets leaves 756 differing bytes in the 1406-byte common span plus a 49-byte retail tail; first mismatch +0x12, last common mismatch +0x57d. This is a broad structural/register-allocation residual, not a relocation or delinked-label wall.
# Replay policy: do not repeat these four entry/source/X alias-and-order shapes, and do not reopen the predicate/count/include matrices, unless X_GLOBAL.h, icon.h, Misc.h, or another real declaration surface changes again. This is a sole-function TU, so no predecessor source exists to steer. If a future header change triggers a retry, begin from the retail +0x12 EBX/EDI lifetime split and record a new hash-pinned matrix.
# No regex permuter or regex transformation was used. The AST permuter was inappropriate before structural alignment.
