# schema_version	1
# base_checkpoint	214bd522e4764ac03c8b3e968e24a9d8afd221cc
# target_rva	0x004d1ba0 (normalized tool RVA 0x000d1ba0)
# target_size	0x4f1
# retained_source_sha256	35ff715455432eafe965a1c9fa3282a9afda273aee69afe93071414e4c1fcb77
# retained_object_sha256	f2ea0136c3d3ea29cd83669e52b71ba25ee20c5f10c74920847b5e361a043fab
# retained_text_sha256	0596f651ae42685c1cee0282b780756855c2d358883d82c85525618338006f3a
# target_object_sha256	1620109acfec9c11aca38897696b8ab056e7b87091fb9f4bda8f1be60e77f1ae
# target_text_sha256	dc51ac4ccfd5869d35741916dc42d83a184ddaf4238987fc68a233c57073b9a9
# owner_header_sha256	b6420dbd16cb2143e4f18cca9baa6c2bf8a54a56a0e037778dc884e4c1d86913
# iconentry_header_sha256	4c213fcda960752692e6f1e202231b26d523bc2fa259c0b8a2d573380d2fb805
# icon_header_sha256	809577ac8c7a091878b5ff40de5d96d37fe2074f480d45207ba6d7ccd3ef4e22
# bitmap_header_sha256	2bdd293d52be21a46247a9257c15ebe2503cf38e50cbc7b3488c82a72127727f
# x_global_header_sha256	3125d63d5f7996a55145652918a107e50e5b723c909071407996d8eacff86bc2
# predecessor_state	No preceding function exists in this translation unit.
# raw_audit	Candidate .text 0x4e5; retail function 0x4f1. Union of 82/81 relocation offsets leaves 678 common unmasked bytes, 611 differing, first +0x1d, plus a 0xc-byte retail tail.
# relocation_audit	No base-only external target. The sole occurrence-count excess is gFlipY, candidate 9 versus retail 8; retail retains its setup load across both vertical clauses.
# first_divergence	At +0x1d candidate loads entry Y into EBP before entry pointer formation; retail forms EDI, loads/subtracts entry X, then loads entry Y.
# retained_structure	Real scratch declaration state follows retail publication plus adjacent flipped-decoder lifetimes. Literal nonzero-skip arms share one publication; the right arm stages cmd-X-clipW before adding gFlipClipR.
# retest_trigger	A newly retail-proven setup Y/X lifetime, real shared-header/compiler-state change, or predecessor-equivalent state mechanism. Do not add dummy TU steering and do not replay this or the two older matrices while hashes agree.
# permutation_policy	No permutation tool used. AST is premature at 86.58%; regex permutation is forbidden.
state	source_sha256	object_sha256	text_sha256	score_pct	candidate_size	base_relocs	target_relocs	disposition	axis
canonical_a0b17fb	7388a30d32705858be3c1f59648c7ff637ce535d4c76d8e51b2fe7f46b2864e8	432327c63be4e5ae1002f0fd006601c99d8c990abd6c67f78139bd47cc19ff1c	d5026c339039175f0e81d637f85c73cbac32e6562393b454d9d8b39dee6c65de	85.63395	0x4e5	82	81	superseded	Combined-root baseline from iconf2b-tu-state-a0b17fb.tsv.
old_style_cursor_sequence	NA	NA	NA	86.27	0x4e5	82	81	rejected_byte_identical	Split source-base advance and delayed entry-Y assignment under the new declaration state.
mutate_x_parameter	NA	NA	NA	84.79	NA	82	81	rejected	Reuse parameter x instead of the dedicated transformed x0 lifetime; created an extra stack spill and regressed setup.
short_entry_y	NA	NA	NA	84.11	NA	82	81	rejected	Preserve packed entry Y in a short local; emitted a BP partial-register lifetime unlike retail movsx.
direct_global_dim_cursor	NA	NA	NA	83.45	NA	NA	81	rejected	Drive both dim loops through gFlipDimDst instead of their local cursor; over-constrained scheduling and regressed.
split_dim_cursor_increment	NA	NA	NA	85.63395	0x4e5	82	81	rejected_byte_identical	Separate *dp load and dp increment in both dim loops; VC4.2 retained the same postincrement schedule.
predicate_operand_polarities	NA	NA	NA	85.63395	0x4e5	82	81	rejected_byte_identical	Spell clip predicates in retail operand order; optimized bytes were unchanged.
first_semantic_use_declarations	NA	NA	NA	85.81	0x4e5	82	81	superseded	Order real scratch declarations by first semantic use; proved private-symbol state changes codegen.
adjacent_flipped_decoder_declarations	NA	NA	NA	85.63395	0x4e5	82	81	rejected	Transfer the sibling declaration sequence verbatim; lost the literal compare improvement.
x_src_before_clipr_declarations	NA	NA	NA	86.27	0x4e5	82	81	superseded	Keep X and source cursor before clip-right in the adjacent declaration template; recovered the literal right-edge compare polarity.
clipr_nearby_placements	NA	NA	NA	86.27	0x4e5	82	81	rejected_byte_identical	Move clip-right beside clip-bottom, row, or run while retaining X/source predecessors; generated bytes were identical.
clause_local_setup_y	NA	NA	NA	86.27	0x4e5	82	81	rejected_byte_identical	Snapshot gFlipY only inside the third/fourth OR clauses; optimizer still emitted the excess fourth-clause reload.
shared_skip_publication	NA	NA	NA	86.27	0x4e5	82	81	superseded	Recover a real skip local and common publication for both nonzero-skip literal arms; initially byte-identical.
function_scope_skip_lifetime	NA	NA	NA	85.62	0x4e7	82	81	rejected	Widen the real skip local to function scope to induce retail stack-slot reuse; instead cascaded EBX/ESI allocation and added only two bytes.
clipped_path_skip_scope	NA	NA	NA	86.5756	0x4e5	82	81	rejected_byte_identical	Widen skip from the overlap block to the clipped-literal path; optimized bytes were identical to the retained narrow real lifetime.
split_right_skip_lifetime	35ff715455432eafe965a1c9fa3282a9afda273aee69afe93071414e4c1fcb77	f2ea0136c3d3ea29cd83669e52b71ba25ee20c5f10c74920847b5e361a043fab	0596f651ae42685c1cee0282b780756855c2d358883d82c85525618338006f3a	86.5756	0x4e5	82	81	retained	Stage skip=cmd, skip-=X, skip-=clipW, then add gFlipClipR before the shared publication; retail uses the same lifetime but spills intermediates.
