source_sha256	header_sha256	state	ctor15_match	read_match	setup_match	setup_size	setup_frame	setup_relocs	sibling_outcome	disposition
fd22c7692d4e9293c47a13eb83b422b678371fe4ee19755d78b515c9b94fd5cb	f5d08f5a98e96310182cf720733ccb4670b41bfcb24c44ec8ce36fcce86072a3	checkpoint_97c1152	98.695656	98.675500	97.128380	0x1be	0x130	8/8	pinned_baseline	BASE
7ad44ec7d174a1afc5a4c2841b41f37544d44cabc5a748bc7c9440710b7fae21	9cbde66972c0de0dbcbb4e614e53378dd6a6bacb7a3f25c5451df07d315c5a2a	cursor_member_semantic_name	98.695656	98.675500	97.128380	0x1be	0x130	8/8	pinned_baseline	BYTE_IDENTICAL_SUPERSEDED
c8830245796424420d89771406abf2ad9dbde92696ac200e198d809da149e451	5a55ba55e75b223f849b3c63e2590d84aeaa5aad2ee566898b64d4e2d2547965	cursor_and_display_member_names	98.695656	98.675500	97.128380	0x1be	0x130	8/8	pinned_baseline	BYTE_IDENTICAL_SUPERSEDED
da6f493caf062100873825b67b5bc838d7a2de84e47d3a901af120e8d62ed4bc	64c205ca39cfa20b29837572bb9fc3dae89938d657dc3f3ebc11b00e944607c9	cursor_display_type_member_names	98.695656	98.675500	97.128380	0x1be	0x130	8/8	pinned_baseline	BYTE_IDENTICAL_SUPERSEDED
9f294502ccc32b78faa75fb7737597d8e5ada509706775df955151835359a935	64c205ca39cfa20b29837572bb9fc3dae89938d657dc3f3ebc11b00e944607c9	reuse_unsigned_cursor_as_second_flag	98.695656	98.675500	99.73	0x1be	0x130	8/8	pinned_others	WRONG_16BIT_FLAG_WIDTH_SUPERSEDED
fdf955dec31ca9c9de9d9da5b4627e43b7f86621a27b83b2712a559caa378896	64c205ca39cfa20b29837572bb9fc3dae89938d657dc3f3ebc11b00e944607c9	narrow_scope_separate_int_flag	98.695656	98.675500	97.128380	0x1be	0x130	8/8	pinned_baseline	REVERTED
cdb02da433bade663c46898bb5e8d7c83b5a4657daa2b31431a1448644622376	64c205ca39cfa20b29837572bb9fc3dae89938d657dc3f3ebc11b00e944607c9	cursor_xor_with_stale_fits_condition	--	--	--	--	--	--	compile_failed	INVALID_INTERMEDIATE
c558e1b19101878b31cffa99ee6ef7b922701bc8e1899ad9ecc94f1e23db5227	64c205ca39cfa20b29837572bb9fc3dae89938d657dc3f3ebc11b00e944607c9	reuse_cursor_with_compound_xor_clear	98.695656	98.675500	99.73	0x1be	0x130	8/8	pinned_others	WRONG_16BIT_FLAG_WIDTH_REVERTED
7f578db7be2ab359766fa9cada89882d184fdfa9db6d68bdc0b17d58e463e7d7	64c205ca39cfa20b29837572bb9fc3dae89938d657dc3f3ebc11b00e944607c9	narrow_int_flag_initialized_zero	98.695656	98.675500	97.128380	0x1be	0x130	8/8	pinned_baseline	REVERTED
363e1866fbd32ac1ff3e305811f96d87d15863cfa8815fdec08be17c3186d002	64c205ca39cfa20b29837572bb9fc3dae89938d657dc3f3ebc11b00e944607c9	narrow_int_flag_initialized_cursor	98.695656	98.675500	97.128380	0x1be	0x130	8/8	pinned_baseline	DEAD_INIT_REVERTED
628d2e574e8d393503f957cbb390fa7e77dab20130ce20a91e2023daadcf970e	64c205ca39cfa20b29837572bb9fc3dae89938d657dc3f3ebc11b00e944607c9	reuse_int_shifted_across_both_loops	98.695656	98.675500	100.000000	0x1be	0x130	8/8	pinned_others	RETAINED_STRUCTURE
6af119813ce573913ff4e9a79cd8cc9860a11e7544fb00e537bbd3df1d7305c6	64c205ca39cfa20b29837572bb9fc3dae89938d657dc3f3ebc11b00e944607c9	retail_constructor_constant_member_order	98.652176	98.675500	100.000000	0x1be	0x130	8/8	pinned_others	RETAINED_RAW_ORDER
40952dfdedf115cc29de71168128f8ffee63e098915e4c6e56cadc07a5434790	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	icon_frame_member_semantic_name	98.652176	98.675500	100.000000	0x1be	0x130	8/8	pinned_others	BYTE_IDENTICAL_SUPERSEDED
3de406420cf110d6f02c5f5042532b07a90afecaea6f6144ea54ffc2e94498f6	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	icon_frame_parameter_semantic_name	98.652176	98.675500	100.000000	0x1be	0x130	8/8	pinned_others	RETAINED_BEFORE_COMMENT_CLEANUP
dbda205ccbc401726bf05507eca6f6ee56c4d2afc9c09ff3ddf228d5b9ab7612	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	constructor_icon_frame_snapshot	98.652176	98.675500	99.93	0x1be	0x130	8/8	pinned_others	TU_CUMULATIVE_SETUP_REGRESSION_REVERTED
4d5f9af39ed232e33fbbcd7f0ca80dcc1137452bd3449c50f5b9214826a9cf71	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	read_height_store_after_type_branch	98.652176	97.74	100.000000	0x1be	0x130	8/8	pinned_others	READ_SCHEDULE_REGRESSION_REVERTED
ac8dd08884961ba6d73e8a312391cdeecac71ba132f5badef5f79201a63b34d8	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	remove_stale_setup_residual_comment	98.652176	98.675500	100.000000	0x1be	0x130	8/8	pinned_others	FINAL
