# BASE/icon2bc forward-sibling decoder skeleton pass, checkpoint 99d936f
# Target: IconToBitmapColorTable, RVA 0xd32a0, retail size 0x5af, target .text SHA-256 15096a6b70e855d536084307e3f0f9caff5f35f7da2c157ef2fe1a80feeb647c, target relocations 91.
# Scope: compare the normalized retail CFG/body order and relocation sequence against IconToBitmap, FlipIconToBitmapColorTable, FlipIconToBitmap, and the Y-modified decoders. Existing setup/header/record/fetch/enum/command/fill/publication/snapshot families were not replayed in isolation. No permutation tool was used.
# Similarity evidence: IconToBitmap is the unique forward sibling at 0.8289 normalized mnemonic similarity; FlipIconToBitmap is 0.5840, FlipIconToBitmapColorTable 0.5623, IconToBitmapYModify 0.5239. The new model therefore transfers IconToBitmap's outer do/while literal-selection ownership while retaining this decoder's mapped byte loop and corrected four fill quadrants.
# Include-state evidence: this TU directly includes va.h and transitively parses active SIZE uses for bitmap, PCXHeader, SLimitData, and icon. A change to SIZE's MSVC expansion is therefore a real retest trigger even though icon2bc.cpp does not invoke SIZE itself.
state	match_percent	candidate_size	base_target_relocs	result	cross_sibling_structure_and_byte_evidence
combined_corrected_fill_input	73.211266	0x558	89/91	superseded	Per-command gCTDst reload and flat if/else literal selection; first divergence +0x12; missing Cnt/Dst/X0 once each and excess Y once.
preloop_cursor_plus_literal_do_default_zero	75.85	0x594	88/91	superseded	Combine retail's one-time destination cursor with IconToBitmap's do/while literal-selection ownership. The combination is necessary: it restores Y/Src occurrence totals and materially lengthens/aligns the literal CFG.
forward_setup_plus_new_skeleton	73.76	0x594	86/91	rejected	Transfer the current IconToBitmap typed entry/data/X/Y setup as well as the new decoder skeleton. It regresses and loses two more occurrences; the canonical setup is restored.
literal_do_with_per_command_cursor	70.10	0x565	88/91	rejected	Isolate the new literal skeleton while restoring the old per-command destination reload. This proves the gain is a whole decoder-lifetime interaction, not a local predicate synonym.
shared_literal_fail_join	76.25	0x596	88/91	superseded	Remove the eager zero initialization and route both rejected literal ranges to one compiler-coalesced zero-count block, matching retail's late xor at +0x525.
retail_dst_srccopy_publication_order	76.25	0x596	88/91	byte-identical-retained	Write gCTDst before gCTSrcCopy in source order as retail publishes them. MSVC emits the same candidate bytes under the new skeleton; retain the semantic retail order.
separate_dim_test_and_decrement_owners	76.27699	0x596	88/91	retained	Use the forward/flip sibling pattern in both dim loops: a signed dimCount owns the positive test/gCTDimLen value while the unsigned count/cn remains the decrement owner. Final source SHA-256 6488a007090b13ec51839c42a9e7f34063fe2f3ef1000fbb66bb79428f22dcd7; candidate .text SHA-256 f353d1a41fffb9b79963e8e948a2170ec3b04241954534a5d0cf52564f702f39.
# Final relocation distribution: Pitch3 Cnt5 X2 Y8 Entry1 Row1 DimPal4 ClipB4 ClipR10 SrcCopy5 DimLen6 Dst5 Src15 Cnt2=2 X0=2 Color7 Run7 and uDimPal1. Retail differs only by Cnt6, Dst6, X0=3.
# Final relocation-union raw audit: candidate 0x596 versus retail 0x5af; 820 common unmasked bytes, 777 differing, first +0x12, last +0x594, plus a 0x19 retail tail. This remains a broad setup/register-allocation residual, not a relocation or delinked-label wall.
# Revisit from the +0x12 EBX/EDI setup split or after a real SIZE/va.h/include-state change. Do not replay the closed local predicate, setup, record, fetch, enum, command, fill, publication, or snapshot matrices.
# Root a237782 retest: the trigger fired. On the SIZE-neutral base head the retained skeleton builds at 76.94% with 90/91 raw occurrences. Candidate distribution is Pitch3 Cnt5 X2 Y9 Entry1 Row1 DimPal4 ClipB4 ClipR11 SrcCopy5 DimLen6 Dst5 Src15 Cnt2=2 X0=2 Color7 Run7 and uDimPal1, versus retail Cnt6/Y8/ClipR10/Dst6/X0=3. The CFG checkpoint remains useful, but current relocation structure is not closed.
