retail_rva	codeview_symbol	kind	candidate_text_sha256	retail_text_sha256	candidate_size	retail_size	candidate_relocs	retail_relocs	masked_common_plus_size_delta	match_state	outcome
0x004dd440	??0button@@QAE@XZ	authored	c2aef3e8ddec8ae8dc3543d305a0ea4f2446b3a6d6a302cda92f476cb7acd03c	c2aef3e8ddec8ae8dc3543d305a0ea4f2446b3a6d6a302cda92f476cb7acd03c	0x34	0x34	2	2	0	100.00000	EXACT pin preserved
0x004dd480	??_Ebutton@@UAEPAXI@Z	generated_alias_A	545c98e5be15cd23b6ae3b50aa39f9f33e7aad00e31f88b28ce075b4590ae959	545c98e5be15cd23b6ae3b50aa39f9f33e7aad00e31f88b28ce075b4590ae959	0x36	0x36	5	5	0	unscored	EARLY_STOP artifact: strong candidate ??_G is raw exact against first retail ??_E copy
0x004dd480	??_Gbutton@@UAEPAXI@Z	generated_alias_B	545c98e5be15cd23b6ae3b50aa39f9f33e7aad00e31f88b28ce075b4590ae959	545c98e5be15cd23b6ae3b50aa39f9f33e7aad00e31f88b28ce075b4590ae959	0x36	0x36	5	5	0	unscored	EARLY_STOP artifact: same candidate body is independently raw exact against second retail ??_E copy
0x004dd4c0	??0button@@QAE@FFFFKFFFFFF@Z	authored	f15d08be397907010ad6ef089aff9dae7cc84d50db9fffeaa4ee4c86adcac3d9	f15d08be397907010ad6ef089aff9dae7cc84d50db9fffeaa4ee4c86adcac3d9	0x6e	0x6e	4	4	0	100.00000	EXACT pin preserved
0x004dd530	??0button@@QAE@FFFFPADFFFFFF@Z	authored	d2918dc8073fe814af6c585fcd41af2840f4eeaf74e43fb65c5a15eb4c633895	d2918dc8073fe814af6c585fcd41af2840f4eeaf74e43fb65c5a15eb4c633895	0x7c	0x7c	6	6	0	100.00000	EXACT pin preserved
0x004dd5b0	?Read@button@@QAEXXZ	authored	3ecd86b50e52783610a0a18c83ee0865f2847c52af7de0d9731f9a23af3876fb	3ecd86b50e52783610a0a18c83ee0865f2847c52af7de0d9731f9a23af3876fb	0xeb	0xeb	30	30	0	100.00000	EXACT pin preserved
0x004dd6a0	??1button@@UAE@XZ	authored	044a5466fe4f14fd2d9d060f3baafe74695e9e2b78fcabeb6b78c08b86f6f876	044a5466fe4f14fd2d9d060f3baafe74695e9e2b78fcabeb6b78c08b86f6f876	0x21	0x21	4	4	0	100.00000	EXACT standalone destructor retained with exact generated alias
0x004dd6d0	?Main@button@@UAEHAAUtag_message@@@Z	authored	30ff5bc20445613d0bf0a6bd0fabaa491e0fc74c9df1a7634ec9e1b1219decf5	f0250476374f82318fa1e54cf36940f3721fbf1595d21b4b54d8c56c4e33490b	0x58d	0x595	36	36	969	retained/live 94.37045	MATCH_NOTE: semantic message/enum header state; complete FPO event CFG, register allocation and repeated block scheduling remain
0x004ddc70	?Select@button@@QAEFAAUtag_message@@@Z	authored	efdd179d5687918b0e6498bdd67068f8565d499d903d1f8af32e7ef459bbed0f	757c90c93015f7c49e3514921f6d64afa696db60351e4b43fb7a7d90933c7032	0x97	0x96	6	6	123	retained 94.71739 / live 86.82609	MATCH_NOTE: semantic message/enum header state; message tail exact, coordinate register/push order and one-byte size residual remain
0x004ddd10	?Deselect@button@@QAEFAAUtag_message@@@Z	authored	ad7d30d94ec5ef14277dc8b6ddc9775b530809804fd8a87fc811de2d85e9c559	116600fcfea458c5deacc414b0a40d3ed99d6935a5a1f766ec1b49a84806afde	0x83	0x83	4	4	2	99.77778	MATCH_NOTE: only vptr/store/this three-instruction schedule differs
0x004ddda0	?Draw@button@@UAEXXZ	authored	54667bb3f5a705e73bc3247117206363b7601e208d55253e695a19123abf2077	54667bb3f5a705e73bc3247117206363b7601e208d55253e695a19123abf2077	0x55	0x55	2	2	0	100.00000	EXACT pin preserved
